,,,SteinerGauss,SteinerGauss,RowCol,RowCol,PermRowCol,PermRowCol
,,,count,overhead,count,overhead,count,overhead
Original,Architecture,Qubits,,,,,,
2,5q-fully_connected,5,2.16,8.0,2.13,6.5,2.15,7.5
4,5q-fully_connected,5,4.06,1.5,4.16,4.0,3.74,-6.5
5,5q-fully_connected,5,5.03,0.5999999999999998,4.96,-0.8,4.49,-10.2
8,5q-fully_connected,5,7.99,-0.125,7.83,-2.125,6.75,-15.625
10,5q-fully_connected,5,9.07,-9.299999999999999,8.98,-10.2,7.28,-27.2
15,5q-fully_connected,5,10.3,-31.333333333333336,10.05,-33.0,7.52,-49.86666666666667
20,5q-fully_connected,5,11.56,-42.2,11.55,-42.25,8.7,-56.5
3,9q-fully_connected,9,3.14,4.666666666666665,3.2,6.666666666666665,3.07,2.333333333333332
5,9q-fully_connected,9,5.51,10.2,5.52,10.399999999999999,5.42,8.399999999999999
10,9q-fully_connected,9,12.07,20.7,12.35,23.5,11.64,16.400000000000002
20,9q-fully_connected,9,25.41,27.05,26.42,32.1,22.61,13.05
30,9q-fully_connected,9,34.85,16.16666666666667,34.43,14.766666666666667,30.96,3.200000000000001
4,16q-fully_connected,16,4.4,10.0,4.31,7.75,4.36,9.0
8,16q-fully_connected,16,9.55,19.375,9.44,18.0,9.52,19.0
16,16q-fully_connected,16,23.08,44.25,22.7,41.875,22.15,38.4375
32,16q-fully_connected,16,57.92,81.0,57.59,79.96875,53.97,68.65625
64,16q-fully_connected,16,108.82,70.03125,105.98,65.59375,103.43,61.609375
128,16q-fully_connected,16,127.05,-0.7421875,126.88,-0.875,124.64,-2.625
256,16q-fully_connected,16,127.89,-50.04296875,126.75,-50.48828125,126.7,-50.5078125
4,20q-fully_connected,20,4.22,5.5,4.28,7.0,4.19,4.75
8,20q-fully_connected,20,9.31,16.375,9.3,16.25,8.92,11.5
16,20q-fully_connected,20,21.67,35.4375,21.55,34.6875,20.96,31.0
32,20q-fully_connected,20,60.9,90.3125,58.61,83.15625,55.37,73.03125
64,20q-fully_connected,20,141.59,121.234375,136.08,112.625,130.48,103.875
128,20q-fully_connected,20,193.62,51.265625,191.36,49.5,190.39,48.7421875
256,20q-fully_connected,20,200.57,-21.65234375,199.64,-22.015625,197.48,-22.859375
