,,,SteinerGauss,SteinerGauss,RowCol,RowCol,PermRowCol without RT,PermRowCol without RT,PermRowCol with RT,PermRowCol with RT
,,,count,overhead (%),count,overhead (%),count,overhead (%),count,overhead (%)
Original,Architecture,#Qubits,,,,,,,,
2,5q-fully_connected,5,2.16,8.0,2.1,5.0,2.15,7.5,1.93,-3.5
4,5q-fully_connected,5,4.13,3.25,4.17,4.25,3.67,-8.25,3.35,-16.25
5,5q-fully_connected,5,5.02,0.4,5.22,4.4,4.44,-11.2,3.9,-22.0
8,5q-fully_connected,5,8.0,0.0,7.97,-0.375,6.57,-17.875,5.86,-26.75
10,5q-fully_connected,5,8.88,-11.2,9.23,-7.699999999999999,7.01,-29.9,6.34,-36.6
15,5q-fully_connected,5,9.68,-35.46666666666667,10.17,-32.2,7.37,-50.86666666666667,6.47,-56.86666666666667
20,5q-fully_connected,5,11.78,-41.1,11.46,-42.7,8.13,-59.35,7.31,-63.45
3,9q-fully_connected,9,3.14,4.666666666666665,3.16,5.333333333333332,3.07,2.333333333333332,2.92,-2.666666666666667
5,9q-fully_connected,9,5.48,9.6,5.45,8.999999999999998,5.41,8.2,4.88,-2.4000000000000004
10,9q-fully_connected,9,12.1,21.0,11.87,18.7,11.52,15.200000000000003,10.37,3.7000000000000015
20,9q-fully_connected,9,25.29,26.45,24.87,24.35,21.09,5.45,19.57,-2.15
30,9q-fully_connected,9,34.6,15.333333333333336,33.73,12.433333333333335,28.24,-5.866666666666665,25.83,-13.899999999999999
4,16q-fully_connected,16,4.4,10.0,4.37,9.25,4.36,9.0,4.01,0.25
8,16q-fully_connected,16,9.53,19.125,9.32,16.5,9.48,18.5,8.54,6.75
16,16q-fully_connected,16,23.16,44.75,22.76,42.25,21.58,34.875,19.73,23.3125
32,16q-fully_connected,16,59.2,85.0,56.88,77.75,50.75,58.59375,46.74,46.0625
64,16q-fully_connected,16,108.69,69.828125,105.64,65.0625,91.85,43.515625,84.66,32.28125
128,16q-fully_connected,16,126.96,-0.8125,127.13,-0.6796875,108.44,-15.28125,100.72,-21.3125
256,16q-fully_connected,16,127.86,-50.0546875,127.83,-50.06640625,109.54,-57.2109375,102.32,-60.03125
4,20q-fully_connected,20,4.22,5.5,4.28,7.0,4.19,4.75,4.02,0.5
8,20q-fully_connected,20,9.32,16.5,9.17,14.625,8.93,11.625,8.34,4.25
16,20q-fully_connected,20,21.6,35.0,21.51,34.4375,20.77,29.8125,19.06,19.125
32,20q-fully_connected,20,60.35,88.59375,58.14,81.6875,53.75,67.96875,49.01,53.15625
64,20q-fully_connected,20,139.57,118.078125,135.06,111.03125,117.01,82.828125,108.29,69.203125
128,20q-fully_connected,20,195.24,52.53125,194.32,51.8125,166.61,30.1640625,155.07,21.1484375
256,20q-fully_connected,20,200.99,-21.48828125,200.31,-21.75390625,173.76,-32.125,162.33,-36.58984375
