,,,SteinerGauss,SteinerGauss,RowCol,RowCol,PermRowCol without RT,PermRowCol without RT,PermRowCol with RT,PermRowCol with RT
,,,count,overhead (%),count,overhead (%),count,overhead (%),count,overhead (%)
Original,Architecture,#Qubits,,,,,,,,
3,9q-square,9,11.96,298.6666666666667,12.26,308.6666666666667,12.17,305.6666666666667,4.74,58.0
5,9q-square,9,18.23,264.6,18.74,274.8,16.33,226.6,7.48,49.6
10,9q-square,9,33.69,236.9,32.67,226.7,28.17,181.7,14.22,42.2
20,9q-square,9,49.05,145.25,46.82,134.1,40.01,100.05,24.47,22.35
30,9q-square,9,55.58,85.26666666666667,53.52,78.4,45.75,52.5,31.23,4.100000000000002
4,16q-square,16,29.9,647.5,29.02,625.5,33.86,746.5,7.21,80.25
8,16q-square,16,55.14,589.25,55.7,596.25,58.49,631.125,15.96,99.5
16,16q-square,16,97.85,511.5625,92.24,476.5,87.95,449.6875,34.34,114.625
32,16q-square,16,151.54,373.5625,141.57,342.40625,133.99,318.71875,81.68,155.25
64,16q-square,16,189.09,195.453125,175.74,174.59375,184.84,188.8125,141.75,121.484375
128,16q-square,16,200.4,56.5625,189.32,47.90625,204.89,60.0703125,165.97,29.6640625
256,16q-square,16,201.95,-21.11328125,190.83,-25.45703125,205.16,-19.859375,167.55,-34.55078125
4,rigetti_16q_aspen,16,55.59,1289.75,50.0,1150.0,51.77,1194.25,14.17,254.25
8,rigetti_16q_aspen,16,100.85,1160.625,88.78,1009.75,90.12,1026.5,30.13,276.625
16,rigetti_16q_aspen,16,155.25,870.3125,138.99,768.6875,132.58,728.625,54.15,238.4375
32,rigetti_16q_aspen,16,223.03,596.96875,199.41,523.15625,174.21,444.40625,106.04,231.375
64,rigetti_16q_aspen,16,259.77,305.890625,240.51,275.796875,229.71,258.921875,178.55,178.984375
128,rigetti_16q_aspen,16,270.64,111.4375,252.33,97.1328125,252.95,97.6171875,209.31,63.5234375
256,rigetti_16q_aspen,16,270.07,5.49609375,255.06,-0.3671875,252.69,-1.29296875,209.52,-18.15625
4,ibm_qx5,16,37.87,846.75,37.96,849.0,40.54,913.5,9.62,140.5
8,ibm_qx5,16,72.34,804.25,71.43,792.875,66.81,735.125,20.62,157.75
16,ibm_qx5,16,121.33,658.3125,115.63,622.6875,104.6,553.75,40.31,151.9375
32,ibm_qx5,16,184.57,476.78125,174.74,446.0625,154.56,383.0,91.17,184.90625
64,ibm_qx5,16,227.48,255.4375,218.93,242.078125,211.51,230.484375,159.43,149.109375
128,ibm_qx5,16,242.96,89.8125,238.07,85.9921875,229.47,79.2734375,189.13,47.7578125
256,ibm_qx5,16,244.43,-4.51953125,238.25,-6.93359375,233.83,-8.66015625,191.73,-25.10546875
4,ibm_q20_tokyo,20,24.04,501.0,23.14,478.5,28.88,622.0,6.71,67.75
8,ibm_q20_tokyo,20,50.58,532.25,49.09,513.625,54.29,578.625,14.72,84.0
16,ibm_q20_tokyo,20,99.7,523.125,94.17,488.5625,95.66,497.875,30.08,88.0
32,ibm_q20_tokyo,20,177.58,454.9375,163.22,410.0625,156.28,388.375,82.09,156.53125
64,ibm_q20_tokyo,20,249.51,289.859375,235.23,267.546875,238.52,272.6875,183.99,187.484375
128,ibm_q20_tokyo,20,281.34,119.796875,269.25,110.3515625,289.53,126.1953125,245.02,91.421875
256,ibm_q20_tokyo,20,288.01,12.50390625,273.23,6.73046875,300.92,17.546875,256.48,0.1875
