,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,Original # Gadgets,Original CX depth,Original # CX,Original Rz depth,Original depth,Original # Rz,#phase_layers,#cnots_per_layer,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,0,steiner,GENERATED,7,6,8,5,11,7,0 days 00:00:00.001520000,7,10,12,4,13,7,,,,arianne,,count,1.0,4q-fully_connected
0,1,steiner,GENERATED,7,11,12,5,16,7,0 days 00:00:00.001294000,7,11,12,4,15,7,,,,arianne,,count,1.0,4q-fully_connected
0,2,steiner,GENERATED,7,11,12,5,16,7,0 days 00:00:00.001092000,7,8,10,4,12,7,,,,arianne,,count,1.0,4q-fully_connected
0,3,steiner,GENERATED,7,10,10,4,13,7,0 days 00:00:00.001542000,7,6,8,4,10,7,,,,arianne,,count,1.0,4q-fully_connected
0,4,steiner,GENERATED,7,6,8,3,9,7,0 days 00:00:00.000942000,7,9,10,4,13,7,,,,arianne,,count,1.0,4q-fully_connected
0,5,steiner,GENERATED,7,13,14,4,15,7,0 days 00:00:00.001179000,7,8,8,3,11,7,,,,arianne,,count,1.0,4q-fully_connected
0,6,steiner,GENERATED,7,8,9,4,11,7,0 days 00:00:00.000938000,7,9,10,5,14,7,,,,arianne,,count,1.0,4q-fully_connected
0,7,steiner,GENERATED,7,6,6,4,10,7,0 days 00:00:00.000839000,7,5,7,3,8,7,,,,arianne,,count,1.0,4q-fully_connected
0,8,steiner,GENERATED,7,10,11,6,15,7,0 days 00:00:00.000978000,7,6,7,5,11,7,,,,arianne,,count,1.0,4q-fully_connected
0,9,steiner,GENERATED,7,9,11,5,14,7,0 days 00:00:00.001016000,7,11,12,5,16,7,,,,arianne,,count,1.0,4q-fully_connected
0,10,steiner,GENERATED,7,8,11,5,12,7,0 days 00:00:00.001028000,7,14,14,5,19,7,,,,arianne,,count,1.0,4q-fully_connected
0,11,steiner,GENERATED,7,6,8,4,9,7,0 days 00:00:00.001053000,7,9,10,5,14,7,,,,arianne,,count,1.0,4q-fully_connected
0,12,steiner,GENERATED,7,10,12,3,13,7,0 days 00:00:00.001035000,7,13,14,5,18,7,,,,arianne,,count,1.0,4q-fully_connected
0,13,steiner,GENERATED,7,6,8,3,8,7,0 days 00:00:00.000940000,7,9,10,5,14,7,,,,arianne,,count,1.0,4q-fully_connected
0,14,steiner,GENERATED,7,11,12,3,13,7,0 days 00:00:00.001100000,7,11,12,3,13,7,,,,arianne,,count,1.0,4q-fully_connected
0,15,steiner,GENERATED,7,6,8,4,9,7,0 days 00:00:00.001044000,7,9,10,5,14,7,,,,arianne,,count,1.0,4q-fully_connected
0,16,steiner,GENERATED,7,5,6,4,9,7,0 days 00:00:00.000875000,7,7,8,4,11,7,,,,arianne,,count,1.0,4q-fully_connected
0,17,steiner,GENERATED,7,6,7,2,8,7,0 days 00:00:00.000938000,7,4,6,3,7,7,,,,arianne,,count,1.0,4q-fully_connected
0,18,steiner,GENERATED,7,10,11,5,14,7,0 days 00:00:00.001058000,7,7,8,3,10,7,,,,arianne,,count,1.0,4q-fully_connected
0,19,steiner,GENERATED,7,5,7,5,10,7,0 days 00:00:00.000923000,7,9,10,5,14,7,,,,arianne,,count,1.0,4q-fully_connected
0,0,tket,GENERATED,,10,12,4,13,7,0 days 00:00:00.005941000,7,10,12,4,13,7,,,,gray,nash,count,1.0,4q-fully_connected
0,1,tket,GENERATED,,11,12,4,15,7,0 days 00:00:00.001549000,7,11,12,4,15,7,,,,gray,nash,count,1.0,4q-fully_connected
