,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,0,steiner,circuits/phasepoly/9qubits/100gadgets/Original6.qasm,100,220,236,94,314,100,0 days 00:00:00.881505000,,gray,nash,count,1.0,9q-fully_connected
0,1,steiner,circuits/phasepoly/9qubits/100gadgets/Original16.qasm,100,212,224,93,305,100,0 days 00:00:00.648223000,,gray,nash,count,1.0,9q-fully_connected
0,2,steiner,circuits/phasepoly/9qubits/100gadgets/Original17.qasm,100,205,214,94,298,100,0 days 00:00:00.439047000,,gray,nash,count,1.0,9q-fully_connected
0,3,steiner,circuits/phasepoly/9qubits/100gadgets/Original7.qasm,100,202,217,92,294,100,0 days 00:00:00.400606000,,gray,nash,count,1.0,9q-fully_connected
0,4,steiner,circuits/phasepoly/9qubits/100gadgets/Original10.qasm,100,216,229,94,310,100,0 days 00:00:00.467661000,,gray,nash,count,1.0,9q-fully_connected
0,5,steiner,circuits/phasepoly/9qubits/100gadgets/Original0.qasm,100,221,235,92,313,100,0 days 00:00:00.515497000,,gray,nash,count,1.0,9q-fully_connected
0,6,steiner,circuits/phasepoly/9qubits/100gadgets/Original1.qasm,100,204,218,89,293,100,0 days 00:00:00.480008000,,gray,nash,count,1.0,9q-fully_connected
0,7,steiner,circuits/phasepoly/9qubits/100gadgets/Original11.qasm,100,228,239,93,321,100,0 days 00:00:00.537703000,,gray,nash,count,1.0,9q-fully_connected
0,8,steiner,circuits/phasepoly/9qubits/100gadgets/Original12.qasm,100,211,229,90,300,100,0 days 00:00:00.542129000,,gray,nash,count,1.0,9q-fully_connected
0,9,steiner,circuits/phasepoly/9qubits/100gadgets/Original2.qasm,100,219,227,95,314,100,0 days 00:00:00.537681000,,gray,nash,count,1.0,9q-fully_connected
0,10,steiner,circuits/phasepoly/9qubits/100gadgets/Original3.qasm,100,232,238,94,325,100,0 days 00:00:00.532874000,,gray,nash,count,1.0,9q-fully_connected
0,11,steiner,circuits/phasepoly/9qubits/100gadgets/Original13.qasm,100,235,252,92,326,100,0 days 00:00:00.540093000,,gray,nash,count,1.0,9q-fully_connected
0,12,steiner,circuits/phasepoly/9qubits/100gadgets/Original18.qasm,100,203,214,94,296,100,0 days 00:00:00.521090000,,gray,nash,count,1.0,9q-fully_connected
0,13,steiner,circuits/phasepoly/9qubits/100gadgets/Original4.qasm,100,228,242,95,322,100,0 days 00:00:00.508666000,,gray,nash,count,1.0,9q-fully_connected
0,14,steiner,circuits/phasepoly/9qubits/100gadgets/Original14.qasm,100,219,228,95,314,100,0 days 00:00:00.533118000,,gray,nash,count,1.0,9q-fully_connected
0,15,steiner,circuits/phasepoly/9qubits/100gadgets/Original8.qasm,100,217,229,94,311,100,0 days 00:00:00.560475000,,gray,nash,count,1.0,9q-fully_connected
0,16,steiner,circuits/phasepoly/9qubits/100gadgets/Original9.qasm,100,226,237,96,321,100,0 days 00:00:00.590517000,,gray,nash,count,1.0,9q-fully_connected
0,17,steiner,circuits/phasepoly/9qubits/100gadgets/Original15.qasm,100,234,245,95,328,100,0 days 00:00:00.566039000,,gray,nash,count,1.0,9q-fully_connected
0,18,steiner,circuits/phasepoly/9qubits/100gadgets/Original5.qasm,100,213,224,95,308,100,0 days 00:00:00.487866000,,gray,nash,count,1.0,9q-fully_connected
0,19,steiner,circuits/phasepoly/9qubits/100gadgets/Original19.qasm,100,226,238,95,321,100,0 days 00:00:00.550897000,,gray,nash,count,1.0,9q-fully_connected
0,0,tket,circuits/phasepoly/9qubits/100gadgets/Original6.qasm,,532,540,99,631,100,0 days 00:00:00.158187000,,gray,nash,count,1.0,9q-fully_connected
0,1,tket,circuits/phasepoly/9qubits/100gadgets/Original16.qasm,,536,548,97,633,100,0 days 00:00:00.163033000,,gray,nash,count,1.0,9q-fully_connected
0,2,tket,circuits/phasepoly/9qubits/100gadgets/Original17.qasm,,536,546,97,632,100,0 days 00:00:00.175892000,,gray,nash,count,1.0,9q-fully_connected
0,3,tket,circuits/phasepoly/9qubits/100gadgets/Original7.qasm,,608,616,98,706,100,0 days 00:00:00.175207000,,gray,nash,count,1.0,9q-fully_connected
0,4,tket,circuits/phasepoly/9qubits/100gadgets/Original10.qasm,,599,608,98,697,100,0 days 00:00:00.178818000,,gray,nash,count,1.0,9q-fully_connected
0,5,tket,circuits/phasepoly/9qubits/100gadgets/Original0.qasm,,549,554,100,649,100,0 days 00:00:00.148743000,,gray,nash,count,1.0,9q-fully_connected
0,6,tket,circuits/phasepoly/9qubits/100gadgets/Original1.qasm,,528,546,96,623,100,0 days 00:00:00.122918000,,gray,nash,count,1.0,9q-fully_connected
0,7,tket,circuits/phasepoly/9qubits/100gadgets/Original11.qasm,,551,558,97,648,100,0 days 00:00:00.139443000,,gray,nash,count,1.0,9q-fully_connected
0,8,tket,circuits/phasepoly/9qubits/100gadgets/Original12.qasm,,605,624,96,701,100,0 days 00:00:00.159137000,,gray,nash,count,1.0,9q-fully_connected
0,9,tket,circuits/phasepoly/9qubits/100gadgets/Original2.qasm,,580,596,99,679,100,0 days 00:00:00.152245000,,gray,nash,count,1.0,9q-fully_connected
0,10,tket,circuits/phasepoly/9qubits/100gadgets/Original3.qasm,,554,562,97,651,100,0 days 00:00:00.141205000,,gray,nash,count,1.0,9q-fully_connected
0,11,tket,circuits/phasepoly/9qubits/100gadgets/Original13.qasm,,603,624,100,703,100,0 days 00:00:00.145862000,,gray,nash,count,1.0,9q-fully_connected
0,12,tket,circuits/phasepoly/9qubits/100gadgets/Original18.qasm,,634,650,97,731,100,0 days 00:00:00.137879000,,gray,nash,count,1.0,9q-fully_connected
0,13,tket,circuits/phasepoly/9qubits/100gadgets/Original4.qasm,,604,622,99,702,100,0 days 00:00:00.135611000,,gray,nash,count,1.0,9q-fully_connected
0,14,tket,circuits/phasepoly/9qubits/100gadgets/Original14.qasm,,613,634,99,711,100,0 days 00:00:00.141138000,,gray,nash,count,1.0,9q-fully_connected
0,15,tket,circuits/phasepoly/9qubits/100gadgets/Original8.qasm,,604,610,99,702,100,0 days 00:00:00.150944000,,gray,nash,count,1.0,9q-fully_connected
0,16,tket,circuits/phasepoly/9qubits/100gadgets/Original9.qasm,,570,582,99,669,100,0 days 00:00:00.144454000,,gray,nash,count,1.0,9q-fully_connected
0,17,tket,circuits/phasepoly/9qubits/100gadgets/Original15.qasm,,571,582,99,670,100,0 days 00:00:00.149644000,,gray,nash,count,1.0,9q-fully_connected
0,18,tket,circuits/phasepoly/9qubits/100gadgets/Original5.qasm,,613,630,99,712,100,0 days 00:00:00.154532000,,gray,nash,count,1.0,9q-fully_connected
0,19,tket,circuits/phasepoly/9qubits/100gadgets/Original19.qasm,,597,616,98,695,100,0 days 00:00:00.171469000,,gray,nash,count,1.0,9q-fully_connected
0,0,steiner,circuits/phasepoly/9qubits/100gadgets/Original6.qasm,100,169,239,53,205,100,0 days 00:00:00.063937000,,arianne,,count,1.0,9q-fully_connected
0,1,steiner,circuits/phasepoly/9qubits/100gadgets/Original16.qasm,100,160,230,58,198,100,0 days 00:00:00.069772000,,arianne,,count,1.0,9q-fully_connected
0,2,steiner,circuits/phasepoly/9qubits/100gadgets/Original17.qasm,100,152,223,54,189,100,0 days 00:00:00.055385000,,arianne,,count,1.0,9q-fully_connected
0,3,steiner,circuits/phasepoly/9qubits/100gadgets/Original7.qasm,100,168,242,48,199,100,0 days 00:00:00.128881000,,arianne,,count,1.0,9q-fully_connected
0,4,steiner,circuits/phasepoly/9qubits/100gadgets/Original10.qasm,100,159,228,57,204,100,0 days 00:00:00.108188000,,arianne,,count,1.0,9q-fully_connected
0,5,steiner,circuits/phasepoly/9qubits/100gadgets/Original0.qasm,100,186,253,60,219,100,0 days 00:00:00.115785000,,arianne,,count,1.0,9q-fully_connected
0,6,steiner,circuits/phasepoly/9qubits/100gadgets/Original1.qasm,100,162,229,58,199,100,0 days 00:00:00.069476000,,arianne,,count,1.0,9q-fully_connected
0,7,steiner,circuits/phasepoly/9qubits/100gadgets/Original11.qasm,100,165,235,49,194,100,0 days 00:00:00.301976000,,arianne,,count,1.0,9q-fully_connected
0,8,steiner,circuits/phasepoly/9qubits/100gadgets/Original12.qasm,100,164,234,55,201,100,0 days 00:00:00.088369000,,arianne,,count,1.0,9q-fully_connected
