,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,0,steiner,circuits/phasepoly/36qubits/100gadgets/Original6.qasm,100,1614,1790,93,1707,100,0 days 00:00:37.523664000,,gray,nash,count,1.0,36q-fully_connected
0,1,steiner,circuits/phasepoly/36qubits/100gadgets/Original16.qasm,100,1549,1639,95,1644,100,0 days 00:00:41.575381000,,gray,nash,count,1.0,36q-fully_connected
0,2,steiner,circuits/phasepoly/36qubits/100gadgets/Original17.qasm,100,1564,1665,96,1660,100,0 days 00:00:42.091762000,,gray,nash,count,1.0,36q-fully_connected
0,3,steiner,circuits/phasepoly/36qubits/100gadgets/Original7.qasm,100,1604,1731,95,1699,100,0 days 00:00:42.259529000,,gray,nash,count,1.0,36q-fully_connected
0,4,steiner,circuits/phasepoly/36qubits/100gadgets/Original10.qasm,100,1586,1719,95,1681,100,0 days 00:00:42.772831000,,gray,nash,count,1.0,36q-fully_connected
0,5,steiner,circuits/phasepoly/36qubits/100gadgets/Original0.qasm,100,1614,1708,96,1710,100,0 days 00:00:59.078613000,,gray,nash,count,1.0,36q-fully_connected
0,6,steiner,circuits/phasepoly/36qubits/100gadgets/Original1.qasm,100,1567,1664,96,1663,100,0 days 00:00:59.235234000,,gray,nash,count,1.0,36q-fully_connected
0,7,steiner,circuits/phasepoly/36qubits/100gadgets/Original11.qasm,100,1582,1714,92,1674,100,0 days 00:00:56.729991000,,gray,nash,count,1.0,36q-fully_connected
0,8,steiner,circuits/phasepoly/36qubits/100gadgets/Original12.qasm,100,1612,1771,90,1702,100,0 days 00:00:56.100947000,,gray,nash,count,1.0,36q-fully_connected
0,9,steiner,circuits/phasepoly/36qubits/100gadgets/Original2.qasm,100,1651,1722,96,1747,100,0 days 00:00:56.654030000,,gray,nash,count,1.0,36q-fully_connected
0,10,steiner,circuits/phasepoly/36qubits/100gadgets/Original3.qasm,100,1599,1795,91,1690,100,0 days 00:00:56.553228000,,gray,nash,count,1.0,36q-fully_connected
0,11,steiner,circuits/phasepoly/36qubits/100gadgets/Original13.qasm,100,1637,1729,95,1732,100,0 days 00:00:59.067101000,,gray,nash,count,1.0,36q-fully_connected
0,12,steiner,circuits/phasepoly/36qubits/100gadgets/Original18.qasm,100,1496,1686,90,1586,100,0 days 00:00:58.384700000,,gray,nash,count,1.0,36q-fully_connected
0,13,steiner,circuits/phasepoly/36qubits/100gadgets/Original4.qasm,100,1616,1700,96,1712,100,0 days 00:00:54.823055000,,gray,nash,count,1.0,36q-fully_connected
0,14,steiner,circuits/phasepoly/36qubits/100gadgets/Original14.qasm,100,1625,1764,94,1719,100,0 days 00:00:42.001862000,,gray,nash,count,1.0,36q-fully_connected
0,15,steiner,circuits/phasepoly/36qubits/100gadgets/Original8.qasm,100,1588,1756,92,1680,100,0 days 00:00:31.312085000,,gray,nash,count,1.0,36q-fully_connected
0,16,steiner,circuits/phasepoly/36qubits/100gadgets/Original9.qasm,100,1469,1786,86,1555,100,0 days 00:00:29.951203000,,gray,nash,count,1.0,36q-fully_connected
0,17,steiner,circuits/phasepoly/36qubits/100gadgets/Original15.qasm,100,1668,1772,94,1762,100,0 days 00:00:31.333822000,,gray,nash,count,1.0,36q-fully_connected
0,18,steiner,circuits/phasepoly/36qubits/100gadgets/Original5.qasm,100,1594,1706,94,1688,100,0 days 00:00:31.473817000,,gray,nash,count,1.0,36q-fully_connected
0,19,steiner,circuits/phasepoly/36qubits/100gadgets/Original19.qasm,100,1620,1717,97,1717,100,0 days 00:00:32.433049000,,gray,nash,count,1.0,36q-fully_connected
0,20,steiner,circuits/phasepoly/36qubits/1gadgets/Original6.qasm,1,38,38,1,39,1,0 days 00:00:02.655766000,,gray,nash,count,1.0,36q-fully_connected
0,21,steiner,circuits/phasepoly/36qubits/1gadgets/Original16.qasm,1,28,28,1,29,1,0 days 00:00:02.472276000,,gray,nash,count,1.0,36q-fully_connected
0,22,steiner,circuits/phasepoly/36qubits/1gadgets/Original17.qasm,1,30,30,1,31,1,0 days 00:00:02.555469000,,gray,nash,count,1.0,36q-fully_connected
0,23,steiner,circuits/phasepoly/36qubits/1gadgets/Original7.qasm,1,38,38,1,39,1,0 days 00:00:02.614459000,,gray,nash,count,1.0,36q-fully_connected
0,24,steiner,circuits/phasepoly/36qubits/1gadgets/Original10.qasm,1,30,30,1,31,1,0 days 00:00:02.471121000,,gray,nash,count,1.0,36q-fully_connected
0,25,steiner,circuits/phasepoly/36qubits/1gadgets/Original0.qasm,1,40,40,1,41,1,0 days 00:00:02.930316000,,gray,nash,count,1.0,36q-fully_connected
0,26,steiner,circuits/phasepoly/36qubits/1gadgets/Original1.qasm,1,40,40,1,41,1,0 days 00:00:02.753435000,,gray,nash,count,1.0,36q-fully_connected
0,27,steiner,circuits/phasepoly/36qubits/1gadgets/Original11.qasm,1,26,26,1,27,1,0 days 00:00:02.300583000,,gray,nash,count,1.0,36q-fully_connected
0,28,steiner,circuits/phasepoly/36qubits/1gadgets/Original12.qasm,1,46,46,1,47,1,0 days 00:00:03.059302000,,gray,nash,count,1.0,36q-fully_connected
0,29,steiner,circuits/phasepoly/36qubits/1gadgets/Original2.qasm,1,20,20,1,21,1,0 days 00:00:02.284962000,,gray,nash,count,1.0,36q-fully_connected
0,30,steiner,circuits/phasepoly/36qubits/1gadgets/Original3.qasm,1,30,30,1,31,1,0 days 00:00:02.588933000,,gray,nash,count,1.0,36q-fully_connected
0,31,steiner,circuits/phasepoly/36qubits/1gadgets/Original13.qasm,1,38,38,1,39,1,0 days 00:00:02.631642000,,gray,nash,count,1.0,36q-fully_connected
0,32,steiner,circuits/phasepoly/36qubits/1gadgets/Original18.qasm,1,44,44,1,45,1,0 days 00:00:03.035986000,,gray,nash,count,1.0,36q-fully_connected
0,33,steiner,circuits/phasepoly/36qubits/1gadgets/Original4.qasm,1,30,30,1,31,1,0 days 00:00:02.535574000,,gray,nash,count,1.0,36q-fully_connected
0,34,steiner,circuits/phasepoly/36qubits/1gadgets/Original14.qasm,1,36,36,1,37,1,0 days 00:00:02.856232000,,gray,nash,count,1.0,36q-fully_connected
0,35,steiner,circuits/phasepoly/36qubits/1gadgets/Original8.qasm,1,30,30,1,31,1,0 days 00:00:02.471552000,,gray,nash,count,1.0,36q-fully_connected
0,36,steiner,circuits/phasepoly/36qubits/1gadgets/Original9.qasm,1,38,38,1,39,1,0 days 00:00:02.759452000,,gray,nash,count,1.0,36q-fully_connected
0,37,steiner,circuits/phasepoly/36qubits/1gadgets/Original15.qasm,1,36,36,1,37,1,0 days 00:00:02.643607000,,gray,nash,count,1.0,36q-fully_connected
0,38,steiner,circuits/phasepoly/36qubits/1gadgets/Original5.qasm,1,30,30,1,31,1,0 days 00:00:02.381221000,,gray,nash,count,1.0,36q-fully_connected
0,39,steiner,circuits/phasepoly/36qubits/1gadgets/Original19.qasm,1,34,34,1,35,1,0 days 00:00:02.659860000,,gray,nash,count,1.0,36q-fully_connected
