,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,Original # Gadgets,Original CX depth,Original # CX,Original Rz depth,Original depth,Original # Rz,#phase_layers,#cnots_per_layer,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,0,steiner,GENERATED,1,30,70,1,31,1,0 days 00:00:01.212056000,1,30,30,1,31,1,,,,arianne,,count,0.09523809523809523,36q-square
0,1,steiner,GENERATED,1,50,70,1,51,1,0 days 00:00:01.164047000,1,26,26,1,27,1,,,,arianne,,count,0.09523809523809523,36q-square
0,2,steiner,GENERATED,1,36,68,1,37,1,0 days 00:00:01.207331000,1,40,40,1,41,1,,,,arianne,,count,0.09523809523809523,36q-square
0,3,steiner,GENERATED,1,42,76,1,43,1,0 days 00:00:01.335242000,1,36,36,1,37,1,,,,arianne,,count,0.09523809523809523,36q-square
0,4,steiner,GENERATED,1,28,64,1,29,1,0 days 00:00:01.228622000,1,48,48,1,49,1,,,,arianne,,count,0.09523809523809523,36q-square
0,5,steiner,GENERATED,1,52,74,1,53,1,0 days 00:00:01.233236000,1,22,22,1,23,1,,,,arianne,,count,0.09523809523809523,36q-square
0,6,steiner,GENERATED,1,26,68,1,27,1,0 days 00:00:01.189796000,1,32,32,1,33,1,,,,arianne,,count,0.09523809523809523,36q-square
0,7,steiner,GENERATED,1,38,70,1,39,1,0 days 00:00:01.267201000,1,30,30,1,31,1,,,,arianne,,count,0.09523809523809523,36q-square
0,8,steiner,GENERATED,1,30,62,1,31,1,0 days 00:00:01.181307000,1,38,38,1,39,1,,,,arianne,,count,0.09523809523809523,36q-square
0,9,steiner,GENERATED,1,34,46,1,35,1,0 days 00:00:01.252641000,1,42,42,1,43,1,,,,arianne,,count,0.09523809523809523,36q-square
0,10,steiner,GENERATED,1,38,56,1,39,1,0 days 00:00:01.230994000,1,36,36,1,37,1,,,,arianne,,count,0.09523809523809523,36q-square
0,11,steiner,GENERATED,1,28,54,1,29,1,0 days 00:00:01.309943000,1,30,30,1,31,1,,,,arianne,,count,0.09523809523809523,36q-square
0,12,steiner,GENERATED,1,52,60,1,53,1,0 days 00:00:01.259746000,1,40,40,1,41,1,,,,arianne,,count,0.09523809523809523,36q-square
0,13,steiner,GENERATED,1,36,56,1,37,1,0 days 00:00:01.213966000,1,28,28,1,29,1,,,,arianne,,count,0.09523809523809523,36q-square
0,14,steiner,GENERATED,1,34,58,1,35,1,0 days 00:00:01.180511000,1,34,34,1,35,1,,,,arianne,,count,0.09523809523809523,36q-square
0,15,steiner,GENERATED,1,36,66,1,37,1,0 days 00:00:01.291010000,1,38,38,1,39,1,,,,arianne,,count,0.09523809523809523,36q-square
0,16,steiner,GENERATED,1,46,56,1,47,1,0 days 00:00:01.271862000,1,16,16,1,17,1,,,,arianne,,count,0.09523809523809523,36q-square
0,17,steiner,GENERATED,1,32,66,1,33,1,0 days 00:00:01.338304000,1,38,38,1,39,1,,,,arianne,,count,0.09523809523809523,36q-square
