,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,Original # Gadgets,Original CX depth,Original # CX,Original Rz depth,Original depth,Original # Rz,#phase_layers,#cnots_per_layer,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,0,steiner,GENERATED,7,12,13,4,14,7,0 days 00:00:00.002223000,7,8,8,4,12,7,,,,arianne,,count,0.5,4q-line
0,1,steiner,GENERATED,7,19,21,5,20,7,0 days 00:00:00.002794000,7,9,10,5,14,7,,,,arianne,,count,0.5,4q-line
0,2,steiner,GENERATED,7,16,18,5,20,7,0 days 00:00:00.002621000,7,7,8,3,10,7,,,,arianne,,count,0.5,4q-line
0,3,steiner,GENERATED,7,25,27,7,30,7,0 days 00:00:00.002989000,7,10,10,6,16,7,,,,arianne,,count,0.5,4q-line
0,4,steiner,GENERATED,7,22,26,5,24,7,0 days 00:00:00.002501000,7,8,8,5,13,7,,,,arianne,,count,0.5,4q-line
0,5,steiner,GENERATED,7,16,18,5,20,7,0 days 00:00:00.002130000,7,11,13,5,16,7,,,,arianne,,count,0.5,4q-line
0,6,steiner,GENERATED,7,17,19,4,19,7,0 days 00:00:00.002279000,7,7,8,4,11,7,,,,arianne,,count,0.5,4q-line
0,7,steiner,GENERATED,7,15,19,5,20,7,0 days 00:00:00.001231000,7,9,10,5,14,7,,,,arianne,,count,0.5,4q-line
0,8,steiner,GENERATED,7,22,25,5,25,7,0 days 00:00:00.002656000,7,13,13,5,18,7,,,,arianne,,count,0.5,4q-line
0,9,steiner,GENERATED,7,20,22,5,23,7,0 days 00:00:00.002104000,7,13,14,5,18,7,,,,arianne,,count,0.5,4q-line
0,10,steiner,GENERATED,7,14,15,5,17,7,0 days 00:00:00.002818000,7,7,8,4,11,7,,,,arianne,,count,0.5,4q-line
0,11,steiner,GENERATED,7,19,21,5,21,7,0 days 00:00:00.001901000,7,7,8,5,11,7,,,,arianne,,count,0.5,4q-line
0,12,steiner,GENERATED,7,12,14,4,15,7,0 days 00:00:00.001722000,7,6,9,2,8,7,,,,arianne,,count,0.5,4q-line
0,13,steiner,GENERATED,7,18,21,4,22,7,0 days 00:00:00.001881000,7,7,9,4,11,7,,,,arianne,,count,0.5,4q-line
0,14,steiner,GENERATED,7,15,17,5,18,7,0 days 00:00:00.002596000,7,8,10,4,12,7,,,,arianne,,count,0.5,4q-line
0,15,steiner,GENERATED,7,15,16,4,17,7,0 days 00:00:00.002005000,7,11,12,5,16,7,,,,arianne,,count,0.5,4q-line
0,16,steiner,GENERATED,7,9,12,6,15,7,0 days 00:00:00.002020000,7,9,10,6,15,7,,,,arianne,,count,0.5,4q-line
0,17,steiner,GENERATED,7,18,21,4,20,7,0 days 00:00:00.002167000,7,7,8,5,11,7,,,,arianne,,count,0.5,4q-line
0,18,steiner,GENERATED,7,22,24,6,25,7,0 days 00:00:00.001912000,7,9,10,6,15,7,,,,arianne,,count,0.5,4q-line
0,19,steiner,GENERATED,7,20,21,6,23,7,0 days 00:00:00.003269000,7,9,10,5,13,7,,,,arianne,,count,0.5,4q-line
0,0,tket,GENERATED,,20,20,4,23,7,0 days 00:00:00.002458000,7,8,8,4,12,7,,,,gray,nash,count,0.5,4q-line
0,1,tket,GENERATED,,18,19,5,23,7,0 days 00:00:00.002722000,7,9,10,5,14,7,,,,gray,nash,count,0.5,4q-line
0,2,tket,GENERATED,,18,20,3,19,7,0 days 00:00:00.002302000,7,7,8,3,10,7,,,,gray,nash,count,0.5,4q-line
0,3,tket,GENERATED,,19,19,6,24,7,0 days 00:00:00.002177000,7,10,10,6,16,7,,,,gray,nash,count,0.5,4q-line
0,4,tket,GENERATED,,19,20,6,22,7,0 days 00:00:00.001718000,7,8,8,5,13,7,,,,gray,nash,count,0.5,4q-line
0,5,tket,GENERATED,,36,40,7,42,7,0 days 00:00:00.004152000,7,11,13,5,16,7,,,,gray,nash,count,0.5,4q-line
0,6,tket,GENERATED,,20,23,5,24,7,0 days 00:00:00.002960000,7,7,8,4,11,7,,,,gray,nash,count,0.5,4q-line
0,7,tket,GENERATED,,20,22,5,23,7,0 days 00:00:00.002589000,7,9,10,5,14,7,,,,gray,nash,count,0.5,4q-line
0,8,tket,GENERATED,,31,31,6,36,7,0 days 00:00:00.002910000,7,13,13,5,18,7,,,,gray,nash,count,0.5,4q-line
0,9,tket,GENERATED,,31,32,6,37,7,0 days 00:00:00.002352000,7,13,14,5,18,7,,,,gray,nash,count,0.5,4q-line
