,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,0,steiner,circuits/phasepoly/9qubits/100gadgets/Original6.qasm,100,522,1048,92,537,100,0 days 00:00:00.853259000,,gray,nash,count,0.2222222222222222,9q-line
0,1,steiner,circuits/phasepoly/9qubits/100gadgets/Original16.qasm,100,445,835,95,465,100,0 days 00:00:01.294660000,,gray,nash,count,0.2222222222222222,9q-line
0,2,steiner,circuits/phasepoly/9qubits/100gadgets/Original17.qasm,100,410,737,93,439,100,0 days 00:00:00.895722000,,gray,nash,count,0.2222222222222222,9q-line
0,3,steiner,circuits/phasepoly/9qubits/100gadgets/Original7.qasm,100,583,1228,89,589,100,0 days 00:00:00.775370000,,gray,nash,count,0.2222222222222222,9q-line
0,4,steiner,circuits/phasepoly/9qubits/100gadgets/Original10.qasm,100,497,979,95,516,100,0 days 00:00:00.639987000,,gray,nash,count,0.2222222222222222,9q-line
0,5,steiner,circuits/phasepoly/9qubits/100gadgets/Original0.qasm,100,508,946,96,532,100,0 days 00:00:00.567491000,,gray,nash,count,0.2222222222222222,9q-line
0,6,steiner,circuits/phasepoly/9qubits/100gadgets/Original1.qasm,100,453,860,90,474,100,0 days 00:00:00.512363000,,gray,nash,count,0.2222222222222222,9q-line
0,7,steiner,circuits/phasepoly/9qubits/100gadgets/Original11.qasm,100,510,944,92,527,100,0 days 00:00:00.584476000,,gray,nash,count,0.2222222222222222,9q-line
0,8,steiner,circuits/phasepoly/9qubits/100gadgets/Original12.qasm,100,549,1077,94,564,100,0 days 00:00:00.618875000,,gray,nash,count,0.2222222222222222,9q-line
0,9,steiner,circuits/phasepoly/9qubits/100gadgets/Original2.qasm,100,479,892,93,492,100,0 days 00:00:00.590861000,,gray,nash,count,0.2222222222222222,9q-line
0,10,steiner,circuits/phasepoly/9qubits/100gadgets/Original3.qasm,100,418,769,96,441,100,0 days 00:00:00.601605000,,gray,nash,count,0.2222222222222222,9q-line
0,11,steiner,circuits/phasepoly/9qubits/100gadgets/Original13.qasm,100,456,795,97,479,100,0 days 00:00:00.618558000,,gray,nash,count,0.2222222222222222,9q-line
0,12,steiner,circuits/phasepoly/9qubits/100gadgets/Original18.qasm,100,422,761,95,450,100,0 days 00:00:00.628928000,,gray,nash,count,0.2222222222222222,9q-line
0,13,steiner,circuits/phasepoly/9qubits/100gadgets/Original4.qasm,100,523,1020,96,543,100,0 days 00:00:00.698876000,,gray,nash,count,0.2222222222222222,9q-line
0,14,steiner,circuits/phasepoly/9qubits/100gadgets/Original14.qasm,100,503,912,95,525,100,0 days 00:00:00.596190000,,gray,nash,count,0.2222222222222222,9q-line
0,15,steiner,circuits/phasepoly/9qubits/100gadgets/Original8.qasm,100,413,776,97,437,100,0 days 00:00:00.596384000,,gray,nash,count,0.2222222222222222,9q-line
0,16,steiner,circuits/phasepoly/9qubits/100gadgets/Original9.qasm,100,547,1049,96,561,100,0 days 00:00:00.613116000,,gray,nash,count,0.2222222222222222,9q-line
0,17,steiner,circuits/phasepoly/9qubits/100gadgets/Original15.qasm,100,476,858,97,490,100,0 days 00:00:00.562552000,,gray,nash,count,0.2222222222222222,9q-line
0,18,steiner,circuits/phasepoly/9qubits/100gadgets/Original5.qasm,100,567,1180,95,576,100,0 days 00:00:00.645768000,,gray,nash,count,0.2222222222222222,9q-line
0,19,steiner,circuits/phasepoly/9qubits/100gadgets/Original19.qasm,100,476,897,97,494,100,0 days 00:00:00.614740000,,gray,nash,count,0.2222222222222222,9q-line
0,0,tket,circuits/phasepoly/9qubits/100gadgets/Original6.qasm,,1066,1435,99,1160,100,0 days 00:00:00.305888000,,gray,nash,count,0.2222222222222222,9q-line
0,1,tket,circuits/phasepoly/9qubits/100gadgets/Original16.qasm,,1007,1263,99,1102,100,0 days 00:00:00.254398000,,gray,nash,count,0.2222222222222222,9q-line
0,2,tket,circuits/phasepoly/9qubits/100gadgets/Original17.qasm,,1040,1324,98,1128,100,0 days 00:00:00.281152000,,gray,nash,count,0.2222222222222222,9q-line
0,3,tket,circuits/phasepoly/9qubits/100gadgets/Original7.qasm,,1232,1488,98,1328,100,0 days 00:00:00.292728000,,gray,nash,count,0.2222222222222222,9q-line
0,4,tket,circuits/phasepoly/9qubits/100gadgets/Original10.qasm,,1248,1554,98,1342,100,0 days 00:00:00.263918000,,gray,nash,count,0.2222222222222222,9q-line
0,5,tket,circuits/phasepoly/9qubits/100gadgets/Original0.qasm,,1093,1405,100,1190,100,0 days 00:00:00.304764000,,gray,nash,count,0.2222222222222222,9q-line
0,6,tket,circuits/phasepoly/9qubits/100gadgets/Original1.qasm,,1118,1473,96,1209,100,0 days 00:00:00.236002000,,gray,nash,count,0.2222222222222222,9q-line
0,7,tket,circuits/phasepoly/9qubits/100gadgets/Original11.qasm,,1062,1347,97,1155,100,0 days 00:00:00.227452000,,gray,nash,count,0.2222222222222222,9q-line
0,8,tket,circuits/phasepoly/9qubits/100gadgets/Original12.qasm,,1205,1578,97,1299,100,0 days 00:00:00.271892000,,gray,nash,count,0.2222222222222222,9q-line
0,9,tket,circuits/phasepoly/9qubits/100gadgets/Original2.qasm,,1123,1502,99,1213,100,0 days 00:00:00.263946000,,gray,nash,count,0.2222222222222222,9q-line
0,10,tket,circuits/phasepoly/9qubits/100gadgets/Original3.qasm,,1119,1373,97,1215,100,0 days 00:00:00.236896000,,gray,nash,count,0.2222222222222222,9q-line
