,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,0,steiner,circuits/phasepoly/20qubits/100gadgets/Original6.qasm,100,610,1991,65,613,100,0 days 00:00:00.743142000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,1,steiner,circuits/phasepoly/20qubits/100gadgets/Original16.qasm,100,592,2112,71,593,100,0 days 00:00:00.647907000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,2,steiner,circuits/phasepoly/20qubits/100gadgets/Original17.qasm,100,636,2103,77,646,100,0 days 00:00:00.803524000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,3,steiner,circuits/phasepoly/20qubits/100gadgets/Original7.qasm,100,559,2107,70,563,100,0 days 00:00:00.911288000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,4,steiner,circuits/phasepoly/20qubits/100gadgets/Original10.qasm,100,645,1977,68,649,100,0 days 00:00:00.867731000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,5,steiner,circuits/phasepoly/20qubits/100gadgets/Original0.qasm,100,607,2069,77,615,100,0 days 00:00:00.862565000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,6,steiner,circuits/phasepoly/20qubits/100gadgets/Original1.qasm,100,629,2007,65,630,100,0 days 00:00:00.826454000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,7,steiner,circuits/phasepoly/20qubits/100gadgets/Original11.qasm,100,656,2022,81,665,100,0 days 00:00:00.741424000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,8,steiner,circuits/phasepoly/20qubits/100gadgets/Original12.qasm,100,589,2143,68,590,100,0 days 00:00:01.476880000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,9,steiner,circuits/phasepoly/20qubits/100gadgets/Original2.qasm,100,618,1908,70,629,100,0 days 00:00:01.186643000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,10,steiner,circuits/phasepoly/20qubits/100gadgets/Original3.qasm,100,623,2034,61,627,100,0 days 00:00:00.784262000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,11,steiner,circuits/phasepoly/20qubits/100gadgets/Original13.qasm,100,606,2130,72,612,100,0 days 00:00:00.536402000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,12,steiner,circuits/phasepoly/20qubits/100gadgets/Original18.qasm,100,576,1986,66,581,100,0 days 00:00:00.997031000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,13,steiner,circuits/phasepoly/20qubits/100gadgets/Original4.qasm,100,644,2013,71,652,100,0 days 00:00:00.687487000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,14,steiner,circuits/phasepoly/20qubits/100gadgets/Original14.qasm,100,610,2000,66,617,100,0 days 00:00:00.658419000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,15,steiner,circuits/phasepoly/20qubits/100gadgets/Original8.qasm,100,598,1977,64,603,100,0 days 00:00:00.848263000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,16,steiner,circuits/phasepoly/20qubits/100gadgets/Original9.qasm,100,592,2015,68,595,100,0 days 00:00:00.766498000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,17,steiner,circuits/phasepoly/20qubits/100gadgets/Original15.qasm,100,570,2075,76,572,100,0 days 00:00:00.523734000,,arianne,,count,0.12105263157894737,ibmq_singapore
0,18,steiner,circuits/phasepoly/20qubits/100gadgets/Original5.qasm,100,600,2016,74,609,100,0 days 00:00:00.588563000,,arianne,,count,0.12105263157894737,ibmq_singapore
