,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,Original # Gadgets,Original CX depth,Original # CX,Original Rz depth,Original depth,Original # Rz,#phase_layers,#cnots_per_layer,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,0,steiner,GENERATED,7,17,20,5,20,7,0 days 00:00:00.001922000,7,7,8,4,11,7,,,,arianne,,count,0.6666666666666666,4q-square
0,1,steiner,GENERATED,7,14,17,5,18,7,0 days 00:00:00.001877000,7,7,8,4,11,7,,,,arianne,,count,0.6666666666666666,4q-square
0,2,steiner,GENERATED,7,14,17,4,17,7,0 days 00:00:00.002113000,7,9,10,5,14,7,,,,arianne,,count,0.6666666666666666,4q-square
0,3,steiner,GENERATED,7,11,11,4,14,7,0 days 00:00:00.001200000,7,6,8,4,10,7,,,,arianne,,count,0.6666666666666666,4q-square
0,4,steiner,GENERATED,7,18,23,5,21,7,0 days 00:00:00.002093000,7,10,12,5,15,7,,,,arianne,,count,0.6666666666666666,4q-square
0,5,steiner,GENERATED,7,9,12,3,12,7,0 days 00:00:00.001137000,7,10,10,4,14,7,,,,arianne,,count,0.6666666666666666,4q-square
0,6,steiner,GENERATED,7,17,19,6,22,7,0 days 00:00:00.003133000,7,9,9,6,15,7,,,,arianne,,count,0.6666666666666666,4q-square
0,7,steiner,GENERATED,7,23,27,6,27,7,0 days 00:00:00.001833000,7,8,10,5,13,7,,,,arianne,,count,0.6666666666666666,4q-square
0,8,steiner,GENERATED,7,10,12,5,14,7,0 days 00:00:00.001156000,7,9,10,5,14,7,,,,arianne,,count,0.6666666666666666,4q-square
0,9,steiner,GENERATED,7,15,18,5,18,7,0 days 00:00:00.001230000,7,9,10,6,15,7,,,,arianne,,count,0.6666666666666666,4q-square
0,10,steiner,GENERATED,7,16,20,5,20,7,0 days 00:00:00.001436000,7,10,10,5,15,7,,,,arianne,,count,0.6666666666666666,4q-square
0,11,steiner,GENERATED,7,17,20,5,21,7,0 days 00:00:00.001299000,7,9,11,4,13,7,,,,arianne,,count,0.6666666666666666,4q-square
0,12,steiner,GENERATED,7,12,15,4,15,7,0 days 00:00:00.001304000,7,9,10,4,13,7,,,,arianne,,count,0.6666666666666666,4q-square
0,13,steiner,GENERATED,7,16,19,6,19,7,0 days 00:00:00.001319000,7,11,12,5,16,7,,,,arianne,,count,0.6666666666666666,4q-square
0,14,steiner,GENERATED,7,13,16,5,18,7,0 days 00:00:00.001130000,7,10,10,4,14,7,,,,arianne,,count,0.6666666666666666,4q-square
0,15,steiner,GENERATED,7,12,14,5,15,7,0 days 00:00:00.003440000,7,8,10,4,11,7,,,,arianne,,count,0.6666666666666666,4q-square
0,16,steiner,GENERATED,7,14,17,5,19,7,0 days 00:00:00.001799000,7,14,14,5,19,7,,,,arianne,,count,0.6666666666666666,4q-square
0,17,steiner,GENERATED,7,12,14,4,14,7,0 days 00:00:00.001073000,7,11,12,5,16,7,,,,arianne,,count,0.6666666666666666,4q-square
0,18,steiner,GENERATED,7,19,20,5,24,7,0 days 00:00:00.001859000,7,9,10,5,14,7,,,,arianne,,count,0.6666666666666666,4q-square
0,19,steiner,GENERATED,7,8,12,4,12,7,0 days 00:00:00.001928000,7,13,13,5,18,7,,,,arianne,,count,0.6666666666666666,4q-square
0,0,tket,GENERATED,,12,14,5,17,7,0 days 00:00:00.005902000,7,7,8,4,11,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,1,tket,GENERATED,,9,11,4,12,7,0 days 00:00:00.001344000,7,7,8,4,11,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,2,tket,GENERATED,,14,16,6,20,7,0 days 00:00:00.001639000,7,9,10,5,14,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,3,tket,GENERATED,,7,11,4,10,7,0 days 00:00:00.001935000,7,6,8,4,10,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,4,tket,GENERATED,,16,18,5,20,7,0 days 00:00:00.001633000,7,10,12,5,15,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,5,tket,GENERATED,,17,20,5,22,7,0 days 00:00:00.002323000,7,10,10,4,14,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,6,tket,GENERATED,,15,18,6,21,7,0 days 00:00:00.004406000,7,9,9,6,15,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,7,tket,GENERATED,,15,19,6,19,7,0 days 00:00:00.003613000,7,8,10,5,13,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,8,tket,GENERATED,,13,16,5,17,7,0 days 00:00:00.003657000,7,9,10,5,14,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,9,tket,GENERATED,,13,16,6,19,7,0 days 00:00:00.002278000,7,9,10,6,15,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,10,tket,GENERATED,,16,16,6,22,7,0 days 00:00:00.002982000,7,10,10,5,15,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,11,tket,GENERATED,,18,20,5,22,7,0 days 00:00:00.005472000,7,9,11,4,13,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,12,tket,GENERATED,,15,16,4,19,7,0 days 00:00:00.009217000,7,9,10,4,13,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,13,tket,GENERATED,,17,18,6,22,7,0 days 00:00:00.002484000,7,11,12,5,16,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,14,tket,GENERATED,,20,22,5,25,7,0 days 00:00:00.003700000,7,10,10,4,14,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,15,tket,GENERATED,,10,13,4,12,7,0 days 00:00:00.003124000,7,8,10,4,11,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,16,tket,GENERATED,,26,27,6,31,7,0 days 00:00:00.002823000,7,14,14,5,19,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,17,tket,GENERATED,,19,21,6,25,7,0 days 00:00:00.002849000,7,11,12,5,16,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,18,tket,GENERATED,,14,16,5,19,7,0 days 00:00:00.003264000,7,9,10,5,14,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,19,tket,GENERATED,,23,25,6,29,7,0 days 00:00:00.003023000,7,13,13,5,18,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,0,steiner,GENERATED,7,18,20,5,22,7,0 days 00:00:00.002677000,7,7,8,4,11,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,1,steiner,GENERATED,7,17,18,4,19,7,0 days 00:00:00.002073000,7,7,8,4,11,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,2,steiner,GENERATED,7,15,17,6,19,7,0 days 00:00:00.001954000,7,9,10,5,14,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,3,steiner,GENERATED,7,12,13,4,14,7,0 days 00:00:00.003026000,7,6,8,4,10,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,4,steiner,GENERATED,7,16,19,6,20,7,0 days 00:00:00.003144000,7,10,12,5,15,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,5,steiner,GENERATED,7,9,11,4,13,7,0 days 00:00:00.001865000,7,10,10,4,14,7,,,,gray,nash,count,0.6666666666666666,4q-square
0,6,steiner,GENERATED,7,14,15,6,18,7,0 days 00:00:00.001983000,7,9,9,6,15,7,,,,gray,nash,count,0.6666666666666666,4q-square
