,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,0,steiner,circuits/phasepoly/9qubits/100gadgets/Original6.qasm,100,391,558,93,421,100,0 days 00:00:00.753112000,,gray,nash,count,0.3333333333333333,9q-square
0,1,steiner,circuits/phasepoly/9qubits/100gadgets/Original16.qasm,100,354,507,93,392,100,0 days 00:00:00.735310000,,gray,nash,count,0.3333333333333333,9q-square
0,2,steiner,circuits/phasepoly/9qubits/100gadgets/Original17.qasm,100,330,475,92,378,100,0 days 00:00:01.158335000,,gray,nash,count,0.3333333333333333,9q-square
0,3,steiner,circuits/phasepoly/9qubits/100gadgets/Original7.qasm,100,343,517,92,387,100,0 days 00:00:01.120926000,,gray,nash,count,0.3333333333333333,9q-square
0,4,steiner,circuits/phasepoly/9qubits/100gadgets/Original10.qasm,100,379,542,90,412,100,0 days 00:00:00.774454000,,gray,nash,count,0.3333333333333333,9q-square
0,5,steiner,circuits/phasepoly/9qubits/100gadgets/Original0.qasm,100,406,597,92,442,100,0 days 00:00:00.657288000,,gray,nash,count,0.3333333333333333,9q-square
0,6,steiner,circuits/phasepoly/9qubits/100gadgets/Original1.qasm,100,330,500,91,377,100,0 days 00:00:00.591754000,,gray,nash,count,0.3333333333333333,9q-square
0,7,steiner,circuits/phasepoly/9qubits/100gadgets/Original11.qasm,100,384,541,89,421,100,0 days 00:00:00.633732000,,gray,nash,count,0.3333333333333333,9q-square
0,8,steiner,circuits/phasepoly/9qubits/100gadgets/Original12.qasm,100,321,497,92,365,100,0 days 00:00:00.590515000,,gray,nash,count,0.3333333333333333,9q-square
0,9,steiner,circuits/phasepoly/9qubits/100gadgets/Original2.qasm,100,368,547,93,397,100,0 days 00:00:00.605975000,,gray,nash,count,0.3333333333333333,9q-square
